"","simType","fitType","mean","sd"
"1","nonInteractive","noTurns",0.655577407100577,0.470444775468153
"2","nonInteractive","wTurns",0.537695020154129,0.309687784441518
"3","nonInteractive","onlyTurns",0.234552048146884,0.170161325954382
"4","a2interactive","noTurns",0.767946921000091,0.390026417251107
"5","a2interactive","wTurns",0.653405977719326,0.47327885718013
"6","a2interactive","onlyTurns",0.191642976195329,0.186362126899239
"7","bidirectional","noTurns",0.91389529097969,0.866493510111533
"8","bidirectional","wTurns",1.17667385861011,0.619923208702196
"9","bidirectional","onlyTurns",0.342649826311453,0.298002161313132
