"","simType","adu_rBeta0","rBeta0Lower","rBeta0Upper","rP0","rBeta1","rBeta1Lower","rBeta1Upper","rP1","rBeta3","rBeta3Lower","rBeta3Upper","rP3"
"1","nonInteractive",-0.0259956413283265,-0.057747182954123,0.00557498736571027,0.023952132152571,-0.0252756320893716,-0.0509884646508969,0.000459127286651532,0.0113625332634252,-0.0188625053131956,-0.0447335133900758,0.0070283351000209,0.0604412677734511
"2","a2interactive",-0.344535577999659,-0.374708221287675,-0.316193404076738,7.11000293304434e-59,-0.289602170328956,-0.316098263780622,-0.262348360643108,1.51221346264301e-56,-0.283856781744592,-0.310756719459364,-0.256141874288055,6.75039982532551e-55
"3","bidirectional",-0.280421409036974,-0.318594519647716,-0.244036852023231,2.24664266345753e-37,-0.19422039218539,-0.22625830975346,-0.162310754249619,4.02489238503547e-33,-0.175840207570835,-0.208018612089002,-0.143581530788202,3.66805224217406e-29
