"","recording","rBeta0","rBeta0Lower","rBeta0Upper","rP0","rBeta1","rBeta1Lower","rBeta1Upper","rP1","rBeta3","rBeta3Lower","rBeta3Upper","rP3"
"1","0054_000603",0.113010667314942,-0.0428154497094847,0.268836784339368,0.0614442085249115,0.0961648666941988,-0.0629848755559612,0.255314608944359,0.119024323655013,0.067589399155245,-0.0926925385617246,0.227871336872215,0.276406228940218
"2","0196_000902",-0.138613341849228,-0.293250292959652,0.0160236092611964,0.0208733088443384,-0.114203829143714,-0.275930730704059,0.0475230724166309,0.0685090889580044,-0.0781072093546743,-0.239779563661336,0.0835651449519879,0.212294323134903
"3","0274_000221",-0.251100837588236,-0.46179684399393,-0.0404048311825417,0.00218618179659982,-0.0861578985938231,-0.311155602606436,0.13883980541879,0.321986651510333,-0.0710873570060587,-0.300059684338199,0.157884970326082,0.421883687744116
"4","0300_000607",-0.184153366481715,-0.587053014441837,0.218746281478406,0.23569152586557,-0.0724682446634444,-0.46968836707666,0.324751877749771,0.635438463712008,-0.11224764632305,-0.512435118302666,0.287939825656565,0.466263513487521
"5","0344_000913",-0.201592750570092,-0.447417723880169,0.0442322227399849,0.0342497332093631,-0.250194125672453,-0.513690413440386,0.0133021620954811,0.0143872448113006,-0.258606800206793,-0.527157548886925,0.00994394847333907,0.0130761303155477
"6","0437_010603",0.0191392853649228,-0.114476943777117,0.152755514506963,0.711630001349066,0.00360688841978765,-0.127113919531051,0.134327696370626,0.943229459863349,-0.0193577933671294,-0.149468981663212,0.110753394928953,0.701008744691
"7","0833_010606",-0.0778401047723678,-0.154429371540892,-0.00125083800384376,0.00884962586816273,-0.0710518404969277,-0.147541646321488,0.00543796532763212,0.0167095109578656,-0.074277604242445,-0.150332848758605,0.00177764027371512,0.0118781788055605
"8","all",-0.111558403817803,-0.296943878170107,0.0586818739398835,0.103336739977068,-0.0554267676264085,-0.181536782474202,0.0590781868898989,0.209707177852928,-0.0548628087217811,-0.110787230349305,0.0221516407061258,0.177290078044793
