"","recording","rBeta0","rBeta0Lower","rBeta0Upper","rP0","rBeta1","rBeta1Lower","rBeta1Upper","rP1","rBeta3","rBeta3Lower","rBeta3Upper","rP3"
"1","0054_000603",0.0976293285247417,-0.0627911664786957,0.258049823528179,0.116613555121121,0.0740704180434739,-0.0878357065128883,0.235976542599836,0.238051949263061,0.0596791860139745,-0.102760405812164,0.222118777840113,0.343323108684813
"2","0196_000902",-0.111952902119573,-0.284032411474941,0.060126607235796,0.093405280291613,-0.0782546732263688,-0.252581395468989,0.0960720490162515,0.246824978817812,-0.0325513534913484,-0.207018431835979,0.141915724853282,0.630161148627114
"3","0274_000221",-0.145668160911129,-0.353528769263246,0.0621924474409873,0.0706585737294587,-0.0804638615831688,-0.288800470599467,0.12787274743313,0.318679511399384,-0.0478815424854828,-0.2562975307834,0.160534445812435,0.552966816339541
"4","0344_000913",-0.0516261256588865,-0.371535009175552,0.268282757857779,0.676416024081611,-0.0123418291223349,-0.331720201276556,0.307036543031886,0.920383672033465,-0.00378724844644559,-0.323372132226373,0.315797635333481,0.975547528761689
"5","0833_010606",-0.0109885937203998,-0.0977853559471902,0.0758081685063905,0.744225486771993,-0.0101830024652716,-0.0970587804353575,0.0766927755048143,0.76259918638079,-0.0122375781507305,-0.0990800379692076,0.0746048816677465,0.71648937991147
"6","all",-0.0514081386379052,-0.072197400715958,0.0571765059235128,0.36844928359699,-0.0135924802370756,-0.0970587804353575,0.0766927755048143,0.588261746355695,-0.00751044739622261,-0.0990800379692076,0.0746048816677465,0.764830528703896
