"","recording","rBeta0","rBeta0Lower","rBeta0Upper","rP0","rBeta1","rBeta1Lower","rBeta1Upper","rP1","rBeta3","rBeta3Lower","rBeta3Upper","rP3"
"1","0054_000603",0.237699689415545,0.0375319780294145,0.437867400801676,0.0022372087428809,0.157855876037378,-0.03581007066593,0.351521822740685,0.0356694049681826,0.136845542793859,-0.0531842481659129,0.326875333753631,0.0634020239193436
"2","0196_000902",-0.162555729341408,-0.350401867441647,0.0252904087588306,0.0257547226367544,-0.168340055275127,-0.354830328052922,0.0181502175026691,0.0200295989280902,-0.161632858855736,-0.347672825036978,0.0244071073255061,0.02517307762222
"3","0274_000221",-0.26998625664322,-0.507352830659663,-0.032619682626777,0.0034161810125825,-0.136280189085276,-0.376679085047123,0.10411870687657,0.143521056892031,-0.0749726703026717,-0.321127088017933,0.17118174741259,0.431635662804269
"4","0300_000607",-0.0938641352506115,-0.580693217059708,0.392964946558485,0.616105011941936,-0.132824726032305,-0.611359432209379,0.345709980144769,0.470604020456263,-0.120762122600717,-0.570656286152469,0.329132040951035,0.485322452724362
"5","0344_000913",-0.0109336604572724,-0.320132994687989,0.298265673773445,0.927214500433726,-0.0359094912692228,-0.349169681946479,0.277350699408034,0.767137068999972,-0.0606836712808468,-0.373366121810937,0.251998779249243,0.616155314144137
"6","0437_010603",-0.0229615476086753,-0.192791942260509,0.146868847043158,0.727251946155584,-0.0717210066827765,-0.2460845629821,0.102642549616547,0.288751271964719,-0.0706708832876145,-0.2465741374011,0.105232370825871,0.300111415129116
"7","0833_010606",-0.0078079416035212,-0.129449820831141,0.113833937624099,0.868500393344636,-0.0254780862457126,-0.149489639266697,0.0985334667752714,0.59618178553607,-0.00975247683871284,-0.132763930197218,0.113258976519793,0.837967869080142
"8","all",-0.0825722750063681,-0.323407329597411,0.115867153222908,0.270770803010087,-0.0610675953903457,-0.222206366907246,0.076827177776727,0.241044460431674,-0.0544363447820634,-0.20435549007122,0.0684962520749626,0.250292515191192
