"","simType","rBeta0","rBeta0Lower","rBeta0Upper","rP0","rBeta1","rBeta1Lower","rBeta1Upper","rP1","rBeta3","rBeta3Lower","rBeta3Upper","rP3"
"1","nonInteractive",0.0487865597980233,5.49913486376594e-05,0.0959823720904216,0.00780518904367203,0.0361386564005584,-0.00610803802716826,0.077060959817211,0.0231659218377003,0.0306694745195449,-0.0100287321212834,0.0698601477485527,0.0426869509372499
"2","a2interactive",-0.16830531896998,-0.211386036461177,-0.124819299728852,5.49873680988965e-15,-0.0347182888101328,-0.0684049759878685,0.000665167546096526,0.00829636173110992,0.0134299519802652,-0.0141922615941384,0.0420713613620065,0.19037579715348
"3","bidirectional",-0.218603816402629,-0.263079669195485,-0.176072231576569,5.97273090551874e-18,-0.166631309633291,-0.203572894399962,-0.130374749151771,6.10686660442454e-16,-0.158631068010114,-0.195463288330208,-0.12254281833793,3.25485093313345e-15
