"","simType","adu_sim_rBeta0","rBeta0Lower","rBeta0Upper","rP0","rBeta1","rBeta1Lower","rBeta1Upper","rP1","rBeta3","rBeta3Lower","rBeta3Upper","rP3"
"1","nonInteractive",0.0187233558867388,-0.0185072058755205,0.0570306605866261,0.175995197851717,0.00917871750300434,-0.0223267015140617,0.0422477749176846,0.41442017614193,0.00284377571081632,-0.0275907581409571,0.0346026120892453,0.79516012514817
"2","a2interactive",-0.193779564346981,-0.234252743121255,-0.15300980808182,5.04878903465292e-23,-0.148120027690323,-0.186309791799652,-0.107810763069872,8.03762007027297e-18,-0.137755867971603,-0.175884919475318,-0.0973937157921911,3.07734122710691e-16
"3","bidirectional",-0.154416286015626,-0.194575707108482,-0.115901288195872,8.9233077183034e-19,-0.0915285538862837,-0.12829564441615,-0.05327797373157,2.52270405243814e-11,-0.0730452429986403,-0.108913676037329,-0.0355751477145394,1.77526831781337e-08
