"","recording","rBeta0","rBeta0Lower","rBeta0Upper","rP0","rBeta1","rBeta1Lower","rBeta1Upper","rP1","rBeta3","rBeta3Lower","rBeta3Upper","rP3"
"1","0054_000603",0.189162569682925,0.025794354269215,0.352530785096636,0.00288080447178535,0.166745995294267,-0.00263645732267576,0.336128447911211,0.0112153071121191,0.161649496534635,-0.00854045890888736,0.331839451978157,0.0144001189377686
"2","0196_000902",-0.126815885694279,-0.292379533014067,0.0387477616255095,0.0482308524010745,-0.102914706703911,-0.278217296057012,0.0723878826491906,0.129764503813401,-0.0362447864185846,-0.213172800791032,0.140683227953863,0.596717511098111
"3","0274_000221",-0.203042036874154,-0.430847732250419,0.0247636585021108,0.0215655861580174,-0.0932977041620082,-0.331975362518054,0.145379954194037,0.312153466355354,-0.0164535187721484,-0.260398262633039,0.227491225088742,0.861462397250708
"4","0300_000607",-0.434199741161841,-0.928117957231822,0.0597184749081393,0.023272505760982,-0.354328431093127,-0.849748537773199,0.141091675586945,0.0642798481595216,-0.341049373746372,-0.841204457700503,0.159105710207759,0.0776030951923273
"5","0344_000913",-0.181786680386798,-0.51331767667376,0.149744315900164,0.155954711315633,-0.139536624234836,-0.485282813328911,0.20620956485924,0.295920687175038,-0.123883672386932,-0.474048423475623,0.226281078701759,0.359411371032296
"6","0437_010603",0.0446107272210249,-0.116884390209747,0.206105844651797,0.475989727335056,-0.0173828680196723,-0.17448977233056,0.139724036291216,0.775240869925853,-0.0337512439769919,-0.188581147621141,0.121078659667157,0.573772069535539
"7","0833_010606",-0.0563291269654755,-0.144067617750738,0.0314093638197874,0.0979960938741603,-0.0491204073762803,-0.136568648838938,0.0383278340863778,0.147668097609696,-0.0479385323972107,-0.134774108817181,0.03889704402276,0.154746055661145
"8","all",-0.107674664838318,-0.363605237137722,0.119841427843633,0.221158919157037,-0.0473193785396883,-0.214382546606517,0.0858660157049827,0.359877307253901,-0.0169211549359713,-0.160291051489649,0.0922646556893031,0.677088849999332
