"","simType","chi_sim_rBeta0","rBeta0Lower","rBeta0Upper","rP0","rBeta1","rBeta1Lower","rBeta1Upper","rP1","rBeta3","rBeta3Lower","rBeta3Upper","rP3"
"1","nonInteractive",0.0171108300932827,-0.0126343661194665,0.0488092581215708,0.119702742152909,0.00379625116602478,-0.02061144909898,0.0282405076967021,0.688762588737952,0.00745884498301081,-0.0170410083926603,0.0319959376679368,0.433035676663435
"2","a2interactive",-0.119616012919817,-0.156475929258245,-0.082465476067848,4.30881665490674e-14,-0.020575639161543,-0.0450752998684994,0.00525206397593251,0.0219835510429667,0.029682373448658,0.00832872912660529,0.0513504024914264,0.000122380362428817
"3","bidirectional",-0.120731920566269,-0.167023044259925,-0.0751102565151249,3.30438958066435e-10,-0.0627622779540527,-0.100271452851737,-0.0230299790553146,2.61779690693109e-05,-0.0509717316846541,-0.0869149860919802,-0.0128390819405988,0.000292168359957791
