"","simType","rBeta0","rBeta0Lower","rBeta0Upper","rP0","rBeta1","rBeta1Lower","rBeta1Upper","rP1","rBeta3","rBeta3Lower","rBeta3Upper","rP3"
"1","nonInteractive",0.0129365471339865,-0.0197869131482887,0.0459493505461826,0.279336455238063,0.00464594487194929,-0.0245123492028489,0.0340394859919274,0.662623717324283,0.000726996563979842,-0.0279774746722865,0.0295817216113786,0.944380274037345
"2","a2interactive",-0.194525395584869,-0.225118252738971,-0.164473694121134,2.13753438378084e-34,-0.0371548906783469,-0.0580105397574091,-0.015874041268462,2.45399744495463e-06,0.0214778963138276,0.00390413734487456,0.0391132244051891,0.00162462253163966
"3","bidirectional",-0.274504373055843,-0.309993352455118,-0.240431580908448,1.95903283104071e-39,-0.204017014489386,-0.233382929643967,-0.174414485300465,2.79676859534126e-36,-0.194126587850475,-0.223637479723402,-0.164329420672912,4.29676651059162e-34
