"","recording","rBeta0","rBeta0Lower","rBeta0Upper","rP0","rBeta1","rBeta1Lower","rBeta1Upper","rP1","rBeta3","rBeta3Lower","rBeta3Upper","rP3"
"1","0054_000603",0.323283268238502,0.0804433424969637,0.56612319398004,0.000615565449631854,-0.00864316169101299,-0.120129115480097,0.102842792098071,0.841595892046932,-0.0112007049072898,-0.122606477597206,0.100205067782626,0.795500042169054
"2","0344_000913",-0.167204799397383,-1.08400574622452,0.749596147429754,0.637022020102284,-0.0339013997170983,-0.17461927748977,0.106816478055574,0.534584418479267,-0.0367193816464355,-0.177334712139437,0.103895948846566,0.500864913644416
"3","0833_010606",0.133873251993887,0.011182668596409,0.256563835391366,0.004951340249934,0.035366357526157,-0.0707387336815725,0.141471448733887,0.390250838515425,0.0356967215904788,-0.0703323681545048,0.141725811335462,0.385499328367273
"4","all",0.0047108900638061,-0.0646250272458386,0.0682975218865234,0.855653499685717,0.00324847568563245,-0.0707387336815725,0.141471448733887,0.899855427053517,0.00183624732034236,-0.0703323681545048,0.141725811335462,0.94324987011304
